time,CapMVRVCur,NVTAdj,PriceUSD,returns,log_mvrv,log_nvt
2020-01-04 00:00:00+00:00,1.31850725,129.15570013,7343.16419438925,0.003800514084554507,0.003968456473883886,0.6578926357174248
2020-01-05 00:00:00+00:00,1.31891454,134.56140919,7345.53069181765,0.0003222202472308311,0.0003088546585775509,0.041002014445550294
2020-01-06 00:00:00+00:00,1.39343235,75.40635323,7765.7977346581,0.05563712685152389,0.054960939809489795,-0.5791291369380556
2020-01-07 00:00:00+00:00,1.45871525,74.56906435,8136.08684190532,0.04658014648634001,0.04578606263278784,-0.011165797603069016
2020-01-08 00:00:00+00:00,1.44434936,78.8893486,8059.69952887201,-0.009433055945764934,-0.009897132303404,0.05632048580014093
2020-01-09 00:00:00+00:00,1.40023893,66.00455101,7817.13609322034,-0.030558017536629123,-0.031016063920837278,-0.17832252565997653
2020-01-10 00:00:00+00:00,1.45520178,72.07138032,8129.81791992987,0.03922026824559666,0.038501685075152725,0.08793332689744737
2020-01-11 00:00:00+00:00,1.43755242,134.43876006,8032.00549503215,-0.012104280144749069,-0.012202612309133998,0.6234517585716883
2020-01-12 00:00:00+00:00,1.46084233,162.63279222,8164.54999316189,0.0163673636860846,0.016071248600007748,0.19038607113468498
2020-01-13 00:00:00+00:00,1.45276596,89.00379434,8121.92566762127,-0.005234333535097946,-0.005543909737810659,-0.602815849092865
2020-01-14 00:00:00+00:00,1.57463765,60.57978254,8830.16787346581,0.08360674891010511,0.08055588434321753,-0.3847177858979798
2020-01-15 00:00:00+00:00,1.56868373,56.01451347,8811.44820251315,-0.002122218043727031,-0.0037883031359077224,-0.07835038969532526
2020-01-16 00:00:00+00:00,1.55078627,70.24389143,8718.68699801286,-0.010583155147788403,-0.011474805900486162,0.22636252343619656
2020-01-17 00:00:00+00:00,1.58368313,67.65117842,8912.54190414962,0.021990834496063982,0.02099115590833256,-0.0376085758705198
2020-01-18 00:00:00+00:00,1.58583813,122.40537796,8928.1807565751,0.0017531640089352152,0.0013598270245221422,0.5929735328652406
2020-01-19 00:00:00+00:00,1.54314165,130.10032981,8687.35483664524,-0.027344150165765413,-0.027292685360792768,0.06096761387051064
2020-01-20 00:00:00+00:00,1.53413892,77.19834233,8636.2587862069,-0.005899023116390012,-0.005851111382022767,-0.5219279361743396
2020-01-21 00:00:00+00:00,1.5503965,96.38178326,8730.86756019871,0.010895263614106199,0.01054144519936312,0.22193922903653807
2020-01-22 00:00:00+00:00,1.53544323,86.30314616,8647.90047399182,-0.009548170085269092,-0.009691616125071134,-0.11045115991910137
2020-01-23 00:00:00+00:00,1.48547764,73.15914209,8366.38461396844,-0.03309472628933818,-0.0330827249085513,-0.16522895654428105
2020-01-24 00:00:00+00:00,1.49494018,106.07904041,8423.39095815313,0.0067906283796403955,0.006349829027912701,0.3715473835238656
2020-01-25 00:00:00+00:00,1.4807681,155.42555978,8344.77456896552,-0.009376930958902463,-0.009525253028565495,0.38198242126951776
2020-01-26 00:00:00+00:00,1.52095733,169.77186747,8573.87480958504,0.027084224056880046,0.026779019336136245,0.08828867800463502
2020-01-27 00:00:00+00:00,1.5779271,83.91322987,8901.95928486265,0.03755162997534356,0.03677206466616634,-0.7046722925460234
2020-01-28 00:00:00+00:00,1.64585254,86.75994513,9297.3883176505,0.04346213778463337,0.042146487726551995,0.03336176630815313
2020-01-29 00:00:00+00:00,1.64528656,88.86539224,9311.94754354179,0.0015647231013939944,-0.0003439417103819342,0.02397772456427294
2020-01-30 00:00:00+00:00,1.67702648,71.5213846,9508.92096493279,0.020932149153663815,0.019107703163707135,-0.2171262877908946
2020-01-31 00:00:00+00:00,1.64732688,70.14835397,9357.28478240795,-0.016075245859711984,-0.01786837136947661,-0.019384148457731953
2020-02-01 00:00:00+00:00,1.650978,104.19211163,9381.88602863822,0.002625650901189047,0.002213938143484806,0.39562408048706565
2020-02-02 00:00:00+00:00,1.64356756,151.93871459,9339.38706312098,-0.004540186803810187,-0.004498618921778552,0.3772408237282008
2020-02-03 00:00:00+00:00,1.6319591,48.02204119,9279.81252051432,-0.006399281090576636,-0.007088025716644186,-1.1518171490849953
2020-02-04 00:00:00+00:00,1.61069803,96.16420587,9161.62719772063,-0.012817539481067897,-0.013113550910332561,0.6943971111090699
2020-02-05 00:00:00+00:00,1.69086813,86.2970884,9628.13677586207,0.04966592128905489,0.048574439390792146,-0.10826134868174808
2020-02-06 00:00:00+00:00,1.70571675,56.3078287,9739.2804364699,0.011477511895007453,0.008743320197891036,-0.42696228063281083
2020-02-07 00:00:00+00:00,1.7097118,63.3231779,9800.27939982466,0.006243657690063742,0.002339414667028805,0.11741784292313984
2020-02-08 00:00:00+00:00,1.72664271,83.36011022,9911.29340841613,0.01126395985012607,0.009854074690909487,0.2749184785333325
2020-02-09 00:00:00+00:00,1.76640757,114.39277511,10151.0832026885,0.023905563963943166,0.022768969654336946,0.3164680220974194
2020-02-10 00:00:00+00:00,1.71346985,80.94634646,9872.36187305669,-0.027841296270194604,-0.030427396030903386,-0.345851376505542
2020-02-11 00:00:00+00:00,1.7792319,58.7446107,10272.2225558738,0.03970428997768494,0.03766128770678223,-0.32058712976234727
2020-02-12 00:00:00+00:00,1.79208365,70.96292885,10360.1352229106,0.00852187617278588,0.00719723883090484,0.18895819576072626
2020-02-13 00:00:00+00:00,1.76851563,71.23105183,10235.4973226184,-0.012103480830147006,-0.013238425528129039,0.0037712327412524616
2020-02-14 00:00:00+00:00,1.7883096,75.2282286,10361.6156901812,0.01224637100186321,0.011130248501605267,0.05459769628479538
