,time,lat,lon,depth,mag
70,2014-04-08T19:06:18.950000Z,35.651,-118.4456,7500.0,3.1
71,2014-04-03T17:57:55.420000Z,34.141,-117.4593,7000.0,3.0
72,2014-04-03T17:08:01.510000Z,34.0475,-118.9463,17400.0,3.1
73,2014-04-01T18:30:44.560000Z,33.8954,-117.9548,15600.0,3.0
74,2014-03-30T06:17:31.730000Z,33.8886,-117.9425,13600.0,3.1
75,2014-03-30T05:51:23.090000Z,33.8908,-117.958,14300.0,3.4
76,2014-03-29T21:32:46.680000Z,33.9421,-117.8903,16400.0,4.4
77,2014-03-29T16:02:06.370000Z,33.8837,-117.9665,19000.0,3.5
78,2014-03-29T05:37:14.070000Z,33.9177,-117.8917,17900.0,3.1
79,2014-03-29T04:30:52.220000Z,33.9117,-117.8912,11800.0,3.7
80,2014-03-29T04:11:53.790000Z,33.9392,-117.8972,11500.0,3.2
81,2014-03-29T04:09:43.970000Z,33.8845,-117.9228,13500.0,5.1
82,2014-03-29T03:03:39.680000Z,33.9307,-117.9456,16800.0,3.7
83,2014-03-17T13:25:37.370000Z,34.1238,-118.4751,15200.0,4.6
84,2014-03-16T21:55:32.530000Z,32.8855,-116.2154,12500.0,3.4
85,2014-03-15T15:12:19.370000Z,34.5939,-118.6207,11200.0,4.0
86,2014-03-08T04:16:31.410000Z,33.9633,-118.4241,16100.0,3.2
87,2014-03-07T17:58:31.230000Z,35.9578,-117.3008,10600.0,3.2
88,2014-03-05T09:17:01.960000Z,33.9197,-116.352,14200.0,3.0
89,2014-03-04T22:51:02.620000Z,35.9719,-117.3061,8500.0,3.1
90,2014-03-04T22:49:31.110000Z,35.9823,-117.2724,3700.0,3.9
91,2014-03-04T22:42:55.570000Z,35.962,-117.3025,10400.0,3.4
92,2014-02-20T00:34:41.570000Z,35.3051,-118.4918,7900.0,3.7
93,2014-02-09T06:26:51.000000Z,32.954,-116.548,10000.0,3.2
94,2014-02-08T18:13:07.590000Z,34.0697,-118.2845,14500.0,3.0
95,2014-02-04T05:31:18.310000Z,35.0164,-119.1075,16300.0,3.6
96,2014-02-03T06:59:17.340000Z,34.0523,-117.5505,18500.0,3.1
97,2014-02-01T01:25:17.400000Z,34.2211,-119.5516,21900.0,3.1
98,2014-01-29T14:22:25.690000Z,34.2344,-119.559,14800.0,3.0
99,2014-01-27T23:35:33.490000Z,35.3137,-118.4938,13700.0,3.4
100,2014-01-27T12:42:37.630000Z,33.6279,-116.7413,18400.0,3.0
101,2014-01-16T09:50:03.870000Z,34.1284,-117.439,13300.0,3.3
102,2014-01-16T07:40:05.540000Z,33.8201,-117.6856,18700.0,3.8
103,2014-01-15T09:35:19.480000Z,34.1433,-117.4472,10700.0,4.3
104,2014-01-03T19:47:59.770000Z,33.9736,-118.4557,16600.0,3.0
105,2014-01-01T15:47:15.990000Z,35.6587,-118.4702,11700.0,3.1
106,2013-12-31T09:21:08.090000Z,33.4886,-116.4821,12600.0,3.0
107,2013-12-30T23:44:21.080000Z,33.6821,-116.7461,20800.0,3.5
108,2013-12-30T18:32:34.640000Z,33.3761,-116.3355,15800.0,3.2
109,2013-12-26T00:18:19.120000Z,32.4171,-116.2436,15500.0,3.5
110,2013-12-13T07:49:55.350000Z,35.7531,-119.836,4600.0,4.1
111,2013-11-30T15:10:12.470000Z,33.0064,-116.4343,14600.0,3.0
112,2013-11-30T11:36:35.170000Z,33.0171,-116.4407,11800.0,3.1
113,2013-11-19T07:10:52.270000Z,32.6781,-118.2482,18200.0,3.1
114,2013-11-04T22:29:42.910000Z,34.1953,-117.0149,11900.0,3.0
115,2013-11-02T18:23:10.690000Z,34.7097,-116.2718,11000.0,3.2
116,2013-10-10T01:34:21.940000Z,35.6684,-118.4604,10500.0,3.5
117,2013-10-06T16:42:43.930000Z,34.7173,-116.1535,1000.0,3.3
118,2013-10-06T16:41:51.240000Z,34.703,-116.2757,8500.0,3.6
119,2013-10-06T02:06:21.820000Z,34.7018,-116.2729,6800.0,4.3
120,2013-10-04T08:55:22.810000Z,33.7239,-117.7202,4200.0,3.2
121,2013-10-02T06:12:40.800000Z,32.1656,-117.6183,1300.0,3.3
122,2013-09-29T08:41:31.180000Z,32.9155,-116.2597,6000.0,3.5
123,2013-09-29T00:36:15.550000Z,32.9221,-116.2485,3900.0,3.2
124,2013-09-22T13:10:09.570000Z,33.449,-116.586,14400.0,3.3
125,2013-09-20T06:10:42.700000Z,33.3283,-116.3931,14200.0,3.8
126,2013-09-19T12:06:33.110000Z,34.053,-117.7875,5200.0,3.9
127,2013-09-19T11:43:54.830000Z,34.0206,-117.7856,3800.0,3.8
128,2013-09-18T12:53:35.250000Z,32.8864,-116.196,9300.0,3.0
129,2013-09-10T22:49:58.540000Z,35.7609,-117.5941,12200.0,3.0
130,2013-09-04T04:04:52.320000Z,33.2794,-116.3952,12000.0,3.1
131,2013-08-25T18:59:18.390000Z,35.4618,-118.2699,1800.0,3.7
132,2013-08-25T18:50:28.210000Z,35.483,-118.2079,600.0,4.1
133,2013-08-22T13:29:22.360000Z,33.3999,-117.0974,10900.0,3.6
134,2013-08-20T07:11:54.160000Z,35.4708,-118.2814,3700.0,3.1
135,2013-08-16T14:40:25.300000Z,35.4723,-118.2767,8400.0,3.2
136,2013-08-12T07:32:34.490000Z,35.9624,-117.743,3600.0,4.1
137,2013-08-10T16:32:59.050000Z,32.8936,-116.2137,13200.0,3.1
138,2013-08-10T14:10:08.290000Z,32.8885,-116.2345,11200.0,3.7
139,2013-08-10T14:09:17.230000Z,32.8582,-116.201,12900.0,3.8
140,2013-07-28T17:31:43.780000Z,35.482,-118.288,3500.0,3.1
141,2013-07-24T16:46:01.750000Z,35.478,-118.305,700.0,4.2
142,2013-07-22T01:59:48.000000Z,33.942,-116.736,18300.0,3.1
143,2013-07-13T17:07:12.100000Z,33.006,-116.985,10000.0,3.5
144,2013-07-05T07:41:17.400000Z,34.905,-119.211,14000.0,3.0
145,2013-06-29T20:25:06.790000Z,33.249,-116.005,1800.0,3.1
146,2013-06-28T17:45:48.000000Z,33.625,-116.696,15600.0,3.2
147,2013-06-19T19:11:50.790000Z,34.009,-117.172,4400.0,3.0
148,2013-05-31T13:24:52.200000Z,33.686,-119.13,10700.0,3.1
149,2013-05-30T03:19:02.000000Z,34.42,-119.934,10600.0,3.1
150,2013-05-29T14:38:03.890000Z,34.4081,-119.7972,19700.0,4.9
151,2013-05-26T01:58:30.900000Z,35.158,-116.839,1800.0,3.2
152,2013-05-18T09:41:02.290000Z,33.583,-118.379,300.0,3.3
153,2013-05-16T10:04:58.000000Z,34.858,-119.239,12700.0,3.2
154,2013-05-15T20:00:06.470000Z,33.6527,-118.3663,7300.0,3.8
155,2013-05-15T16:20:05.090000Z,33.979,-116.767,17900.0,3.1
156,2013-05-07T09:06:08.660000Z,34.4493,-119.2948,17700.0,3.7
157,2013-05-03T05:57:53.250000Z,33.981,-118.782,13000.0,3.1
158,2013-04-27T02:52:18.090000Z,33.958,-118.418,11900.0,3.1
159,2013-04-25T18:59:43.900000Z,33.646,-116.74,16900.0,3.0
160,2013-04-15T13:21:18.090000Z,35.491,-118.394,9400.0,3.1
161,2013-04-07T20:45:18.000000Z,34.712,-116.287,1700.0,3.2
162,2013-04-07T19:14:02.510000Z,33.782,-116.0812,4800.0,3.5
163,2013-03-27T18:16:58.450000Z,33.4543,-116.4406,8500.0,3.6
164,2013-03-27T17:50:29.130000Z,33.495,-116.445,8500.0,3.4
165,2013-03-26T22:49:59.700000Z,32.554,-116.768,5000.0,3.4
166,2013-03-13T04:21:13.590000Z,33.513,-116.475,11800.0,3.3
167,2013-03-11T16:56:05.860000Z,33.4826,-116.4524,10200.0,4.7
168,2013-03-04T23:17:40.080000Z,34.0043,-117.2432,16000.0,3.4
169,2013-03-01T21:55:27.110000Z,35.8226,-116.7891,10000.0,3.3
170,2013-02-26T20:18:47.800000Z,33.9792,-117.226,3300.0,3.6
171,2013-02-23T04:40:12.710000Z,32.0607,-117.6704,1600.0,4.0
172,2013-02-21T20:57:38.230000Z,33.243,-116.0196,5400.0,3.5
173,2013-02-17T17:04:51.800000Z,33.0144,-116.3009,17000.0,3.2
174,2013-02-14T07:40:57.070000Z,34.784,-118.629,4800.0,3.0
175,2013-01-23T22:28:36.530000Z,32.921,-117.498,15400.0,3.0
176,2013-01-21T01:25:57.560000Z,34.786,-119.481,13300.0,3.2
177,2013-01-17T02:10:02.400000Z,34.008,-117.13,13900.0,3.0
178,2013-01-16T11:25:40.150000Z,35.4767,-118.2805,5100.0,3.6
179,2013-01-05T09:59:32.290000Z,33.613,-116.664,3800.0,3.3
180,2012-12-22T21:37:44.580000Z,33.0312,-116.2258,10500.0,3.9
