WKT,latitude,longitude,brightness,scan,track,acq_date,acq_time,acq_datetime,confidence,brightness_2,frp
"POINT (92.87004 21.15141)",21.15141,92.87004,314.12,1.08,1.04,2023-04-27,1537,2023/04/27 15:37:00+00,87,297.59,9.95
"POINT (96.84348 22.0614)",22.0614,96.84348,301.71,1.14,1.07,2023-04-27,1537,2023/04/27 15:37:00+00,44,290.33,5.57
"POINT (96.61362 22.1718)",22.1718,96.61362,304.72,1.12,1.05,2023-04-27,1537,2023/04/27 15:37:00+00,59,292.28,5.81
"POINT (92.92688 21.65898)",21.65898,92.92688,310.21,1.06,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,77,296.55,7.21
"POINT (96.61768 22.17834)",22.17834,96.61768,303.69,1.12,1.05,2023-04-27,1537,2023/04/27 15:37:00+00,48,292.28,4.98
"POINT (96.59356 22.19435)",22.19435,96.59356,303.79,1.12,1.05,2023-04-27,1537,2023/04/27 15:37:00+00,11,292.05,4.98
"POINT (96.58283 22.193)",22.193,96.58283,313.5,1.12,1.05,2023-04-27,1537,2023/04/27 15:37:00+00,87,292.12,12.97
"POINT (96.5815 22.20234)",22.20234,96.5815,302.96,1.12,1.05,2023-04-27,1537,2023/04/27 15:37:00+00,46,292.06,4.75
"POINT (93.65508 21.84902)",21.84902,93.65508,307.97,1.02,1.01,2023-04-27,1537,2023/04/27 15:37:00+00,71,293.18,7.27
"POINT (93.67266 21.86069)",21.86069,93.67266,317.01,1.02,1.01,2023-04-27,1537,2023/04/27 15:37:00+00,94,294.42,13.65
"POINT (92.91505 21.74946)",21.74946,92.91505,314.09,1.06,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,87,296.93,9.8
"POINT (92.9052 21.74799)",21.74799,92.9052,310.51,1.06,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,77,297.05,6.73
"POINT (96.70548 22.28112)",22.28112,96.70548,303.89,1.13,1.06,2023-04-27,1537,2023/04/27 15:37:00+00,56,291.8,5.83
"POINT (92.90757 21.75671)",21.75671,92.90757,310.37,1.06,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,77,296.87,7.42
"POINT (92.89776 21.75522)",21.75522,92.89776,309.72,1.06,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,75,296.93,6.83
"POINT (92.91288 21.78552)",21.78552,92.91288,311.09,1.06,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,79,296.6,7.86
"POINT (92.67406 21.86977)",21.86977,92.67406,306,1.08,1.04,2023-04-27,1537,2023/04/27 15:37:00+00,62,295.5,4.52
"POINT (92.80363 21.92559)",21.92559,92.80363,311.79,1.07,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,33,296.9,7.7
"POINT (92.94263 21.95604)",21.95604,92.94263,307.85,1.06,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,70,296.37,5.9
"POINT (92.80189 21.93468)",21.93468,92.80189,312.13,1.07,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,52,296.69,8.05
"POINT (92.9514 21.96667)",21.96667,92.9514,310.87,1.06,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,74,296.6,7.32
"POINT (92.94112 21.96511)",21.96511,92.94112,337.69,1.06,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,100,297.9,39.88
"POINT (92.78994 21.94221)",21.94221,92.78994,309.68,1.07,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,54,295.67,6.57
"POINT (92.79875 21.95291)",21.95291,92.79875,309.03,1.07,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,29,296.36,5.89
"POINT (92.95815 21.98629)",21.98629,92.95815,308.85,1.06,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,73,295.45,6.66
"POINT (92.86165 22.00908)",22.00908,92.86165,309.59,1.06,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,75,296.22,6.49
"POINT (92.61913 21.98962)",21.98962,92.61913,307.37,1.08,1.04,2023-04-27,1537,2023/04/27 15:37:00+00,69,295.72,5.62
"POINT (92.84094 22.03291)",22.03291,92.84094,310.43,1.06,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,66,296.07,7.06
"POINT (92.6275 22.00032)",22.00032,92.6275,314.08,1.08,1.04,2023-04-27,1537,2023/04/27 15:37:00+00,88,296.09,10.59
"POINT (92.83945 22.04202)",22.04202,92.83945,308.26,1.06,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,71,295.87,5.79
"POINT (92.80924 22.03744)",22.03744,92.80924,311.43,1.07,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,35,296.05,7.19
"POINT (92.79896 22.03588)",22.03588,92.79896,309.34,1.07,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,28,295.88,6.14
"POINT (92.80771 22.04655)",22.04655,92.80771,309.42,1.07,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,29,295.62,6
"POINT (92.73283 22.05394)",22.05394,92.73283,306.53,1.07,1.03,2023-04-27,1537,2023/04/27 15:37:00+00,65,295.55,5.38
"POINT (99.5415 23.11971)",23.11971,99.5415,300.49,1.72,1.29,2023-04-27,1537,2023/04/27 15:37:00+00,29,288.44,10.55
"POINT (92.55294 22.25663)",22.25663,92.55294,303.61,1.08,1.04,2023-04-27,1537,2023/04/27 15:37:00+00,43,290.04,3.94
"POINT (105.39784 23.87776)",23.87776,105.39784,303.43,4.75,1.99,2023-04-27,1537,2023/04/27 15:37:00+00,55,290.09,49.82
"POINT (105.38882 23.87768)",23.87768,105.38882,301.2,4.75,1.99,2023-04-27,1537,2023/04/27 15:37:00+00,39,290.01,38.73
"POINT (96.26102 23.07033)",23.07033,96.26102,308.29,1.1,1.05,2023-04-27,1537,2023/04/27 15:37:00+00,74,296.86,6.19
"POINT (105.17275 24.14742)",24.14742,105.17275,304.86,4.61,1.97,2023-04-27,1537,2023/04/27 15:37:00+00,62,290.96,52.89
"POINT (94.31898 22.98649)",22.98649,94.31898,310.59,1,1,2023-04-27,1537,2023/04/27 15:37:00+00,44,290.1,11.9
"POINT (105.1677 24.14837)",24.14837,105.1677,302.95,4.61,1.97,2023-04-27,1537,2023/04/27 15:37:00+00,52,291.05,45.67
"POINT (95.12531 23.20725)",23.20725,95.12531,304.88,1.02,1.01,2023-04-27,1537,2023/04/27 15:37:00+00,62,293.05,4.16
"POINT (97.29186 23.88887)",23.88887,97.29186,305.3,1.26,1.12,2023-04-27,1537,2023/04/27 15:37:00+00,64,295.23,5.93
"POINT (96.90872 23.90401)",23.90401,96.90872,306.62,1.2,1.09,2023-04-27,1537,2023/04/27 15:37:00+00,69,296.34,5.69
"POINT (96.89727 23.90262)",23.90262,96.89727,307.17,1.2,1.09,2023-04-27,1537,2023/04/27 15:37:00+00,71,296.52,6.61
"POINT (97.92458 24.03479)",24.03479,97.92458,302.15,1.38,1.16,2023-04-27,1537,2023/04/27 15:37:00+00,47,291.17,7.32
"POINT (96.45409 23.87687)",23.87687,96.45409,307.5,1.14,1.07,2023-04-27,1537,2023/04/27 15:37:00+00,72,295.58,6.87
"POINT (99.67951 24.46567)",24.46567,99.67951,301.71,1.84,1.33,2023-04-27,1537,2023/04/27 15:37:00+00,44,291.06,11.87
"POINT (95.93643 24.14995)",24.14995,95.93643,306.22,1.09,1.04,2023-04-27,1537,2023/04/27 15:37:00+00,67,293.18,5.57
"POINT (95.92593 24.14861)",24.14861,95.92593,304.93,1.09,1.04,2023-04-27,1537,2023/04/27 15:37:00+00,62,292.51,5.03
"POINT (97.07875 24.35291)",24.35291,97.07875,304.98,1.24,1.11,2023-04-27,1537,2023/04/27 15:37:00+00,53,289.73,7.07
"POINT (97.06693 24.35152)",24.35152,97.06693,307.15,1.24,1.11,2023-04-27,1537,2023/04/27 15:37:00+00,70,289.55,8.92
"POINT (95.79257 24.82853)",24.82853,95.79257,304.7,1.1,1.04,2023-04-27,1537,2023/04/27 15:37:00+00,61,291.74,5.7
"POINT (96.56556 25.20803)",25.20803,96.56556,304.38,1.2,1.09,2023-04-27,1537,2023/04/27 15:37:00+00,47,292.88,5.43
"POINT (96.57395 25.22869)",25.22869,96.57395,307.73,1.2,1.09,2023-04-27,1537,2023/04/27 15:37:00+00,72,293.5,8.27
"POINT (97.91283 25.52855)",25.52855,97.91283,307.83,1.44,1.19,2023-04-27,1537,2023/04/27 15:37:00+00,73,291.87,11.87
"POINT (94.90211 25.16419)",25.16419,94.90211,301.26,1.03,1.02,2023-04-27,1537,2023/04/27 15:37:00+00,26,277.84,5.41
"POINT (97.15859 25.60301)",25.60301,97.15859,305.18,1.3,1.13,2023-04-27,1537,2023/04/27 15:37:00+00,63,294.24,6.85
"POINT (97.38795 25.67996)",25.67996,97.38795,311.65,1.34,1.15,2023-04-27,1537,2023/04/27 15:37:00+00,59,292.81,13.87
"POINT (97.37659 25.67867)",25.67867,97.37659,307.21,1.34,1.15,2023-04-27,1537,2023/04/27 15:37:00+00,15,293.89,8.62
"POINT (97.37534 25.68888)",25.68888,97.37534,309.19,1.34,1.15,2023-04-27,1537,2023/04/27 15:37:00+00,61,294.12,10.78
"POINT (97.54085 25.77053)",25.77053,97.54085,303.65,1.37,1.16,2023-04-27,1537,2023/04/27 15:37:00+00,56,292.73,5.97
"POINT (99.88143 27.06769)",27.06769,99.88143,301.65,2.07,1.4,2023-04-27,1537,2023/04/27 15:37:00+00,25,281.89,19.93
"POINT (99.85671 27.06532)",27.06532,99.85671,302.39,2.06,1.4,2023-04-27,1537,2023/04/27 15:37:00+00,20,284.42,21.82
"POINT (99.85497 27.07768)",27.07768,99.85497,306.8,2.06,1.4,2023-04-27,1537,2023/04/27 15:37:00+00,49,284.77,28.69
"POINT (125.31965 8.96789)",8.96789,125.31965,305.5,1.23,1.1,2023-04-27,1720,2023/04/27 17:20:00+00,65,293.24,6.76
"POINT (121.20397 15.51855)",15.51855,121.20397,306.39,3.08,1.67,2023-04-27,1720,2023/04/27 17:20:00+00,45,293.01,31.9
"POINT (127.44238 -1.45692)",-1.45692,127.44238,306.15,1.06,1.03,2023-04-27,1722,2023/04/27 17:22:00+00,42,283.68,7.04
"POINT (127.63872 1.50004)",1.50004,127.63872,302.41,1.03,1.02,2023-04-27,1722,2023/04/27 17:22:00+00,49,288.99,4.35
"POINT (127.63718 1.49103)",1.49103,127.63718,306.56,1.03,1.02,2023-04-27,1722,2023/04/27 17:22:00+00,68,288.29,7.08
"POINT (101.67325 26.58072)",26.58072,101.67325,315.32,1.81,1.32,2023-04-27,1853,2023/04/27 18:53:00+00,91,294.24,30.1
"POINT (105.91683 25.41156)",25.41156,105.91683,302.49,1.04,1.02,2023-04-27,1853,2023/04/27 18:53:00+00,49,291.74,4.35
"POINT (105.91537 25.40249)",25.40249,105.91537,313.94,1.04,1.02,2023-04-27,1853,2023/04/27 18:53:00+00,88,292.08,12.39
"POINT (102.56639 19.96061)",19.96061,102.56639,304.31,1.29,1.13,2023-04-27,1856,2023/04/27 18:56:00+00,59,293.21,6.98
"POINT (104.99567 16.96641)",16.96641,104.99567,308.39,1,1,2023-04-27,1858,2023/04/27 18:58:00+00,74,293.37,7.03
"POINT (106.15207 13.69197)",13.69197,106.15207,307.25,1.07,1.03,2023-04-27,1858,2023/04/27 18:58:00+00,68,293.75,5.87
"POINT (106.25461 13.40642)",13.40642,106.25461,313.53,1.09,1.04,2023-04-27,1858,2023/04/27 18:58:00+00,87,291.57,11.66
"POINT (99.56667 19.6043)",19.6043,99.56667,303.97,2.05,1.39,2023-04-27,1858,2023/04/27 18:58:00+00,58,291.08,12.81
"POINT (100.66723 19.47554)",19.47554,100.66723,300.83,1.69,1.28,2023-04-27,1858,2023/04/27 18:58:00+00,34,286.88,8.03
"POINT (103.76752 18.79042)",18.79042,103.76752,304.69,1.09,1.04,2023-04-27,1858,2023/04/27 18:58:00+00,59,291.63,7.49
"POINT (102.21116 18.81496)",18.81496,102.21116,304.14,1.31,1.13,2023-04-27,1858,2023/04/27 18:58:00+00,59,293.37,6.04
"POINT (102.22312 18.81342)",18.81342,102.22312,318.09,1.31,1.13,2023-04-27,1858,2023/04/27 18:58:00+00,96,293.81,21.29
"POINT (102.15791 18.61783)",18.61783,102.15791,303.68,1.31,1.14,2023-04-27,1858,2023/04/27 18:58:00+00,56,293.23,6.16
"POINT (99.59354 18.84719)",18.84719,99.59354,304.44,1.99,1.38,2023-04-27,1858,2023/04/27 18:58:00+00,60,292.26,11.22
"POINT (103.08032 18.25952)",18.25952,103.08032,304.24,1.16,1.07,2023-04-27,1858,2023/04/27 18:58:00+00,59,291.19,4.98
"POINT (102.98087 18.25351)",18.25351,102.98087,304.34,1.17,1.08,2023-04-27,1858,2023/04/27 18:58:00+00,54,291.87,5.11
"POINT (102.99181 18.25203)",18.25203,102.99181,305.45,1.17,1.08,2023-04-27,1858,2023/04/27 18:58:00+00,64,291.48,6.03
"POINT (104.98641 16.96777)",16.96777,104.98641,313.75,1,1,2023-04-27,1858,2023/04/27 18:58:00+00,88,293.6,11.01
"POINT (107.37733 14.38523)",14.38523,107.37733,302.07,1.2,1.09,2023-04-27,1858,2023/04/27 18:58:00+00,46,287.31,6.63
"POINT (106.63049 15.62047)",15.62047,106.63049,310.61,1.08,1.04,2023-04-27,1858,2023/04/27 18:58:00+00,80,292.9,9.68
"POINT (106.64036 15.61894)",15.61894,106.64036,311.53,1.08,1.04,2023-04-27,1858,2023/04/27 18:58:00+00,83,293.16,10.49
"POINT (106.55629 15.34504)",15.34504,106.55629,302.44,1.07,1.03,2023-04-27,1858,2023/04/27 18:58:00+00,35,292.33,4.29
"POINT (106.55403 15.33597)",15.33597,106.55403,304.4,1.07,1.03,2023-04-27,1858,2023/04/27 18:58:00+00,55,290.6,5.85
"POINT (107.12938 14.969)",14.969,107.12938,303.82,1.15,1.07,2023-04-27,1858,2023/04/27 18:58:00+00,57,291.83,4.85
"POINT (102.1317 19.71054)",19.71054,102.1317,311.29,1.36,1.15,2023-04-27,1858,2023/04/27 18:58:00+00,82,294.25,13.54
"POINT (99.72338 19.88825)",19.88825,99.72338,305.13,2.02,1.38,2023-04-27,1858,2023/04/27 18:58:00+00,63,290.73,14.18
"POINT (99.7159 19.88668)",19.88668,99.7159,301.84,2.02,1.38,2023-04-27,1858,2023/04/27 18:58:00+00,45,290.19,9.39
"POINT (103.50445 -2.69483)",-2.69483,103.50445,300.43,1.18,1.08,2023-04-27,1902,2023/04/27 19:02:00+00,23,283.36,5.17
"POINT (121.34299 16.87745)",16.87745,121.34299,334.19,1.03,1.01,2023-04-28,206,2023/04/28 02:06:00+00,74,296.63,26.85
"POINT (120.39992 15.95844)",15.95844,120.39992,330.65,1.09,1.04,2023-04-28,206,2023/04/28 02:06:00+00,75,305.41,15.88
"POINT (122.98493 10.41588)",10.41588,122.98493,325.76,1.11,1.05,2023-04-28,209,2023/04/28 02:09:00+00,75,300.45,16.83
"POINT (117.47997 6.88983)",6.88983,117.47997,312.58,1.22,1.1,2023-04-28,209,2023/04/28 02:09:00+00,55,295.52,9.73
"POINT (121.11503 12.61352)",12.61352,121.11503,324.56,1,1,2023-04-28,209,2023/04/28 02:09:00+00,75,305.84,8.31
"POINT (123.45296 12.37635)",12.37635,123.45296,316.34,1.11,1.05,2023-04-28,209,2023/04/28 02:09:00+00,69,297.13,9.37
"POINT (120.94312 13.87331)",13.87331,120.94312,322.58,1.02,1.01,2023-04-28,209,2023/04/28 02:09:00+00,31,301.29,7.68
"POINT (120.94932 14.54611)",14.54611,120.94932,311.7,1.02,1.01,2023-04-28,209,2023/04/28 02:09:00+00,49,299.4,6.05
"POINT (121.21052 15.51316)",15.51316,121.21052,321.93,1.02,1.01,2023-04-28,209,2023/04/28 02:09:00+00,30,305.25,8.33
"POINT (117.15934 -0.50123)",-0.50123,117.15934,313.12,1.07,1.03,2023-04-28,211,2023/04/28 02:11:00+00,27,291.46,6.01
"POINT (122.55371 0.94894)",0.94894,122.55371,314,1.37,1.16,2023-04-28,211,2023/04/28 02:11:00+00,33,298.82,10.89
"POINT (120.82623 1.03874)",1.03874,120.82623,314.4,1.1,1.04,2023-04-28,211,2023/04/28 02:11:00+00,30,298.18,7.47
"POINT (122.61333 -5.46239)",-5.46239,122.61333,310.62,1.73,1.29,2023-04-28,213,2023/04/28 02:13:00+00,0,292.79,10.31
"POINT (119.77111 -3.56442)",-3.56442,119.77111,309.69,1.09,1.04,2023-04-28,213,2023/04/28 02:13:00+00,57,292.46,5.26
"POINT (122.39919 -3.87239)",-3.87239,122.39919,315.23,1.58,1.24,2023-04-28,213,2023/04/28 02:13:00+00,47,294.81,18.37
"POINT (121.87173 -5.08525)",-5.08525,121.87173,310.61,1.5,1.21,2023-04-28,213,2023/04/28 02:13:00+00,0,290.65,9.98
"POINT (99.56495 19.60514)",19.60514,99.56495,328.28,1.04,1.02,2023-04-28,345,2023/04/28 03:45:00+00,78,302.85,15.95
"POINT (99.57458 19.60366)",19.60366,99.57458,319.57,1.04,1.02,2023-04-28,345,2023/04/28 03:45:00+00,58,302.32,6.45
"POINT (99.56335 19.59618)",19.59618,99.56335,334.89,1.04,1.02,2023-04-28,345,2023/04/28 03:45:00+00,85,303.72,25.66
"POINT (99.60156 19.59033)",19.59033,99.60156,330.65,1.04,1.02,2023-04-28,345,2023/04/28 03:45:00+00,81,300.32,22.78
"POINT (93.78685 20.29087)",20.29087,93.78685,324.12,1.58,1.24,2023-04-28,345,2023/04/28 03:45:00+00,47,300.45,27.06
"POINT (96.81458 19.8736)",19.8736,96.81458,329.48,1.06,1.03,2023-04-28,345,2023/04/28 03:45:00+00,73,307.28,16.74
"POINT (100.98106 19.23654)",19.23654,100.98106,318.3,1.19,1.09,2023-04-28,345,2023/04/28 03:45:00+00,50,301.6,9.57
"POINT (97.14327 19.8005)",19.8005,97.14327,327.46,1.04,1.02,2023-04-28,345,2023/04/28 03:45:00+00,68,310.53,8.85
"POINT (92.99234 20.30169)",20.30169,92.99234,325.4,1.8,1.32,2023-04-28,345,2023/04/28 03:45:00+00,44,304.89,18.82
"POINT (97.54224 19.72651)",19.72651,97.54224,328.19,1.02,1.01,2023-04-28,345,2023/04/28 03:45:00+00,61,306.99,11.6
"POINT (97.55153 19.72521)",19.72521,97.55153,326.28,1.02,1.01,2023-04-28,345,2023/04/28 03:45:00+00,50,308.25,9.23
"POINT (103.66216 18.69776)",18.69776,103.66216,320.73,1.82,1.32,2023-04-28,345,2023/04/28 03:45:00+00,72,296.89,20.43
"POINT (103.67973 18.69472)",18.69472,103.67973,328.06,1.82,1.32,2023-04-28,345,2023/04/28 03:45:00+00,81,297.87,39.93
"POINT (94.08589 20.0945)",20.0945,94.08589,330,1.5,1.21,2023-04-28,345,2023/04/28 03:45:00+00,69,301.53,34.75
"POINT (97.71251 19.61927)",19.61927,97.71251,334.02,1.01,1,2023-04-28,345,2023/04/28 03:45:00+00,82,304.94,21.82
"POINT (97.72193 19.61794)",19.61794,97.72193,323.33,1.01,1,2023-04-28,345,2023/04/28 03:45:00+00,48,305.85,8.35
"POINT (97.72989 19.60774)",19.60774,97.72989,323.57,1.01,1,2023-04-28,345,2023/04/28 03:45:00+00,60,305.86,8.53
"POINT (102.62556 18.8196)",18.8196,102.62556,369.97,1.53,1.22,2023-04-28,345,2023/04/28 03:45:00+00,100,296.6,204.29
"POINT (102.62402 18.80883)",18.80883,102.62402,383.51,1.53,1.22,2023-04-28,345,2023/04/28 03:45:00+00,100,294.41,300.97
"POINT (102.61764 18.81658)",18.81658,102.61764,380.48,1.53,1.22,2023-04-28,345,2023/04/28 03:45:00+00,100,297.79,276.8
"POINT (102.63415 18.81388)",18.81388,102.63415,355.68,1.53,1.22,2023-04-28,345,2023/04/28 03:45:00+00,98,292.71,128.7
"POINT (102.61593 18.80585)",18.80585,102.61593,313.8,1.53,1.22,2023-04-28,345,2023/04/28 03:45:00+00,39,292.28,12.29
"POINT (102.63221 18.80317)",18.80317,102.63221,314.5,1.53,1.22,2023-04-28,345,2023/04/28 03:45:00+00,34,292.72,14.12
"POINT (102.48747 18.78352)",18.78352,102.48747,330,1.49,1.21,2023-04-28,345,2023/04/28 03:45:00+00,0,298.81,35.01
"POINT (102.59652 18.75403)",18.75403,102.59652,326.72,1.52,1.22,2023-04-28,345,2023/04/28 03:45:00+00,79,299.22,29.16
"POINT (102.61047 18.75166)",18.75166,102.61047,327.06,1.53,1.22,2023-04-28,345,2023/04/28 03:45:00+00,79,299.63,29.36
"POINT (102.3322 18.77726)",18.77726,102.3322,320.48,1.46,1.19,2023-04-28,345,2023/04/28 03:45:00+00,55,299.43,14.1
"POINT (102.34558 18.77498)",18.77498,102.34558,341.52,1.46,1.19,2023-04-28,345,2023/04/28 03:45:00+00,90,298.31,63.86
"POINT (102.35895 18.7727)",18.7727,102.35895,339.11,1.46,1.2,2023-04-28,345,2023/04/28 03:45:00+00,89,297.06,56.92
"POINT (102.35233 18.7678)",18.7678,102.35233,341.87,1.46,1.2,2023-04-28,345,2023/04/28 03:45:00+00,90,298.55,62.33
"POINT (102.2832 18.76837)",18.76837,102.2832,323.79,1.45,1.19,2023-04-28,345,2023/04/28 03:45:00+00,75,302.81,17.16
"POINT (94.43833 19.90029)",19.90029,94.43833,327.94,1.41,1.18,2023-04-28,345,2023/04/28 03:45:00+00,63,306.76,19.83
"POINT (101.9283 18.80551)",18.80551,101.9283,345.34,1.37,1.16,2023-04-28,345,2023/04/28 03:45:00+00,92,299.93,69.4
"POINT (101.94043 18.80351)",18.80351,101.94043,321.37,1.37,1.16,2023-04-28,345,2023/04/28 03:45:00+00,51,297.64,17.32
"POINT (101.91382 18.79741)",18.79741,101.91382,328.69,1.37,1.16,2023-04-28,345,2023/04/28 03:45:00+00,80,300.01,26.98
"POINT (102.74799 18.65781)",18.65781,102.74799,316.13,1.57,1.23,2023-04-28,345,2023/04/28 03:45:00+00,13,298.97,10.59
"POINT (102.83245 18.63222)",18.63222,102.83245,317.5,1.59,1.24,2023-04-28,345,2023/04/28 03:45:00+00,33,299.1,14.17
"POINT (102.03484 18.74562)",18.74562,102.03484,313.65,1.4,1.17,2023-04-28,345,2023/04/28 03:45:00+00,45,297.86,7.58
"POINT (102.04704 18.74356)",18.74356,102.04704,313.4,1.4,1.17,2023-04-28,345,2023/04/28 03:45:00+00,43,297.16,7.15
"POINT (100.87434 18.89346)",18.89346,100.87434,318.53,1.19,1.08,2023-04-28,345,2023/04/28 03:45:00+00,48,301.26,6.67
"POINT (102.83063 18.57392)",18.57392,102.83063,320.51,1.59,1.24,2023-04-28,345,2023/04/28 03:45:00+00,64,298.71,17.46
"POINT (102.81355 18.56555)",18.56555,102.81355,369.2,1.59,1.24,2023-04-28,345,2023/04/28 03:45:00+00,94,300.4,203.52
"POINT (102.81213 18.55456)",18.55456,102.81213,327.24,1.59,1.24,2023-04-28,345,2023/04/28 03:45:00+00,0,298.34,30.05
"POINT (94.48027 19.77178)",19.77178,94.48027,347.95,1.4,1.17,2023-04-28,345,2023/04/28 03:45:00+00,92,307.43,70.7
"POINT (94.49265 19.77025)",19.77025,94.49265,339.14,1.39,1.17,2023-04-28,345,2023/04/28 03:45:00+00,83,308.93,41.89
"POINT (102.74591 18.52102)",18.52102,102.74591,337.27,1.57,1.24,2023-04-28,345,2023/04/28 03:45:00+00,66,300.41,60.55
"POINT (102.75999 18.51859)",18.51859,102.75999,327.81,1.58,1.24,2023-04-28,345,2023/04/28 03:45:00+00,60,299.31,35.09
"POINT (102.73917 18.51906)",18.51906,102.73917,320.76,1.57,1.24,2023-04-28,345,2023/04/28 03:45:00+00,68,300.19,21.65
"POINT (102.75362 18.51666)",18.51666,102.75362,332.09,1.58,1.24,2023-04-28,345,2023/04/28 03:45:00+00,83,299.61,46.35
"POINT (102.12977 18.59799)",18.59799,102.12977,316.23,1.42,1.18,2023-04-28,345,2023/04/28 03:45:00+00,40,298.78,9.92
"POINT (101.92665 18.53885)",18.53885,101.92665,336.29,1.39,1.17,2023-04-28,345,2023/04/28 03:45:00+00,86,300.7,43.72
"POINT (101.9248 18.5286)",18.5286,101.9248,329,1.39,1.17,2023-04-28,345,2023/04/28 03:45:00+00,78,300.08,26.53
"POINT (102.29185 18.46788)",18.46788,102.29185,320.2,1.47,1.2,2023-04-28,345,2023/04/28 03:45:00+00,50,301.94,12.58
"POINT (101.91029 18.52046)",18.52046,101.91029,321.02,1.38,1.16,2023-04-28,345,2023/04/28 03:45:00+00,59,300.38,12.12
"POINT (102.04766 18.47642)",18.47642,102.04766,320.4,1.41,1.18,2023-04-28,345,2023/04/28 03:45:00+00,46,301.98,11.13
"POINT (101.90313 18.43966)",18.43966,101.90313,324.62,1.39,1.17,2023-04-28,345,2023/04/28 03:45:00+00,72,300.68,19.1
"POINT (101.91596 18.43755)",18.43755,101.91596,325.94,1.39,1.17,2023-04-28,345,2023/04/28 03:45:00+00,74,300.15,21.47
"POINT (104.43253 17.94312)",17.94312,104.43253,335.82,2.15,1.42,2023-04-28,345,2023/04/28 03:45:00+00,86,295.65,86.54
"POINT (104.45222 17.93952)",17.93952,104.45222,318.04,2.15,1.43,2023-04-28,345,2023/04/28 03:45:00+00,62,295.14,25.22
"POINT (104.4257 17.94224)",17.94224,104.4257,324.5,2.15,1.42,2023-04-28,345,2023/04/28 03:45:00+00,73,295.71,42.28
"POINT (104.44528 17.93881)",17.93881,104.44528,326.81,2.15,1.43,2023-04-28,345,2023/04/28 03:45:00+00,77,295.09,52.97
"POINT (101.95981 18.34852)",18.34852,101.95981,321.94,1.4,1.17,2023-04-28,345,2023/04/28 03:45:00+00,52,302.13,11.78
"POINT (101.88063 18.35093)",18.35093,101.88063,332.87,1.39,1.17,2023-04-28,345,2023/04/28 03:45:00+00,82,300.61,36.31
"POINT (101.89314 18.34887)",18.34887,101.89314,323.99,1.39,1.17,2023-04-28,345,2023/04/28 03:45:00+00,70,299.96,18.51
"POINT (101.87877 18.34069)",18.34069,101.87877,338.4,1.39,1.17,2023-04-28,345,2023/04/28 03:45:00+00,87,299.91,48.71
"POINT (101.89115 18.33864)",18.33864,101.89115,328.39,1.39,1.17,2023-04-28,345,2023/04/28 03:45:00+00,77,299.02,26.31
"POINT (98.20366 18.89393)",18.89393,98.20366,322.07,1,1,2023-04-28,345,2023/04/28 03:45:00+00,26,308.35,11.58
"POINT (97.02773 19.04282)",19.04282,97.02773,319.92,1.04,1.02,2023-04-28,345,2023/04/28 03:45:00+00,47,304.59,6.86
"POINT (99.7031 18.65025)",18.65025,99.7031,322.49,1.06,1.03,2023-04-28,345,2023/04/28 03:45:00+00,47,306.25,9.25
"POINT (101.89687 18.29543)",18.29543,101.89687,339.14,1.39,1.17,2023-04-28,345,2023/04/28 03:45:00+00,87,300.17,50.72
"POINT (101.90968 18.29327)",18.29327,101.90968,352.22,1.39,1.17,2023-04-28,345,2023/04/28 03:45:00+00,96,300.48,90.99
"POINT (101.89493 18.28519)",18.28519,101.89493,323.32,1.39,1.17,2023-04-28,345,2023/04/28 03:45:00+00,54,300.38,16.3
"POINT (101.90237 18.28649)",18.28649,101.90237,345.99,1.39,1.17,2023-04-28,345,2023/04/28 03:45:00+00,92,300.38,69.09
"POINT (95.83816 18.97481)",18.97481,95.83816,338.63,1.14,1.07,2023-04-28,345,2023/04/28 03:45:00+00,85,317.8,29.11
"POINT (104.20679 17.62654)",17.62654,104.20679,319.64,2.09,1.41,2023-04-28,345,2023/04/28 03:45:00+00,58,297.12,18.51
"POINT (98.86441 23.01556)",23.01556,98.86441,316.06,1,1,2023-04-28,345,2023/04/28 03:45:00+00,65,300.25,7.14
"POINT (99.02644 22.3732)",22.3732,99.02644,317.42,1,1,2023-04-28,345,2023/04/28 03:45:00+00,64,302.95,9.46
